Band:0, Mean: 2957.363472057075, Median: 2780.0, Std Deviation: 354.910267391568, Min: 2560, Max: 4536, Percentile: [2602. 2780. 3179.] 
Band:179, Mean: 1149.5675624256837, Median: 1129.0, Std Deviation: 85.14703357090637, Min: 1017, Max: 1542, Percentile: [1069. 1129. 1234.] 
Band:180, Mean: 1148.084661117717, Median: 1127.0, Std Deviation: 85.05015525320944, Min: 1013, Max: 1550, Percentile: [1067. 1127. 1232.] 
Band:181, Mean: 1143.4122235434006, Median: 1122.0, Std Deviation: 84.25706722488536, Min: 1009, Max: 1546, Percentile: [1064. 1122. 1227.] 
Band:182, Mean: 1132.3590487514864, Median: 1114.0, Std Deviation: 77.44546208570425, Min: 1015, Max: 1510, Percentile: [1058. 1114. 1209.] 
Band:183, Mean: 1131.6223543400713, Median: 1113.0, Std Deviation: 77.20759590432212, Min: 1018, Max: 1526, Percentile: [1058. 1113. 1208.] 
Band:184, Mean: 1112.8677288941735, Median: 1096.0, Std Deviation: 68.36416204268201, Min: 1002, Max: 1458, Percentile: [1047. 1096. 1181.] 
Band:185, Mean: 1103.281664684899, Median: 1090.0, Std Deviation: 63.49775506316083, Min: 1008, Max: 1431, Percentile: [1042. 1090. 1166.] 
Band:186, Mean: 1105.472009512485, Median: 1092.0, Std Deviation: 63.68184063389435, Min: 1009, Max: 1449, Percentile: [1045. 1092. 1168.] 
Band:187, Mean: 1088.7985255648039, Median: 1078.0, Std Deviation: 54.245782557663794, Min: 1006, Max: 1377, Percentile: [1035. 1078. 1143.] 
Band:188, Mean: 1080.4338644470868, Median: 1071.0, Std Deviation: 49.00179243415959, Min: 1001, Max: 1347, Percentile: [1034. 1071. 1128.] 
Band:189, Mean: 1080.9117717003567, Median: 1070.0, Std Deviation: 50.55647309702004, Min: 1001, Max: 1363, Percentile: [1032. 1070. 1131.] 
Band:190, Mean: 1079.3107728894174, Median: 1068.0, Std Deviation: 49.94260363680825, Min: 998, Max: 1364, Percentile: [1031. 1068. 1129.] 
Band:191, Mean: 1061.9278478002377, Median: 1053.0, Std Deviation: 38.842881500825605, Min: 998, Max: 1287, Percentile: [1026. 1053. 1099.] 
Band:192, Mean: 1060.2102734839477, Median: 1052.0, Std Deviation: 38.71127392861282, Min: 999, Max: 1289, Percentile: [1024. 1052. 1098.] 
Band:193, Mean: 1063.276813317479, Median: 1054.0, Std Deviation: 41.91997185425136, Min: 999, Max: 1315, Percentile: [1024. 1054. 1104.] 
Band:194, Mean: 1050.0485136741975, Median: 1043.0, Std Deviation: 34.24191096996864, Min: 993, Max: 1258, Percentile: [1019. 1043. 1083.] 
Band:195, Mean: 1040.2011414982164, Median: 1033.0, Std Deviation: 26.452042507134323, Min: 990, Max: 1201, Percentile: [1016. 1033. 1066.] 
Band:196, Mean: 1043.3703210463734, Median: 1035.0, Std Deviation: 29.793709029871057, Min: 992, Max: 1245, Percentile: [1016. 1035. 1072.] 
Band:197, Mean: 1030.1948156956005, Median: 1026.0, Std Deviation: 20.86460974543473, Min: 989, Max: 1167, Percentile: [1012. 1026. 1050.] 
Band:198, Mean: 1015.5714625445897, Median: 1014.0, Std Deviation: 11.386131450964053, Min: 986, Max: 1076, Percentile: [1006. 1014. 1024.] 
Band:199, Mean: 1008.5135790725327, Median: 1009.0, Std Deviation: 7.050753236170881, Min: 981, Max: 1036, Percentile: [1004. 1009. 1014.] 
